Model,Method,Domain,Category,Metric,Value,SE,CI_Lower,CI_Upper,Bootstrap_N,N
GPT-4o-mini,Hybrid RF+PP,Content,ACT,Directional Accuracy,0.7095,0.0374,0.6351,0.7770,2000,148
GPT-4o-mini,Hybrid RF+PP,Content,ACT,Directional Macro-F1,0.3959,0.0332,0.3289,0.4630,2000,148
GPT-4o-mini,Hybrid RF+PP,Content,ACT,Spearman_Rho,-1.0000,0.0000,-1.0000,-1.0000,2000,148
GPT-4o-mini,Hybrid RF+PP,Coping,ACT,Accuracy,0.4362,0.0409,0.3624,0.5169,2000,149
GPT-4o-mini,Hybrid RF+PP,Coping,ACT,F1,0.2725,0.0306,0.2166,0.3348,2000,149
GPT-4o-mini,Hybrid RF+PP,Coping,ACT,Kappa,0.2199,0.0460,0.1382,0.3151,2000,149
GPT-4o-mini,Hybrid RF+PP,Coping,ACT,QWK,0.3319,0.0729,0.1858,0.4663,2000,149
GPT-4o-mini,Hybrid RF+PP,Coping,ACT,Directional Accuracy,0.6376,0.0396,0.5570,0.7181,2000,149
GPT-4o-mini,Hybrid RF+PP,Coping,ACT,Directional Macro-F1,0.4904,0.0464,0.4005,0.5816,2000,149
GPT-4o-mini,Hybrid RF+PP,Coping,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,149
GPT-4o-mini,Hybrid RF+PP,Quitting,ACT,Accuracy,0.3826,0.0393,0.3087,0.4631,2000,149
GPT-4o-mini,Hybrid RF+PP,Quitting,ACT,F1,0.2819,0.0340,0.2123,0.3443,2000,149
GPT-4o-mini,Hybrid RF+PP,Quitting,ACT,Kappa,0.1796,0.0431,0.0948,0.2620,2000,149
GPT-4o-mini,Hybrid RF+PP,Quitting,ACT,QWK,0.3961,0.0670,0.2598,0.5221,2000,149
GPT-4o-mini,Hybrid RF+PP,Quitting,ACT,Directional Accuracy,0.6913,0.0391,0.6107,0.7651,2000,149
GPT-4o-mini,Hybrid RF+PP,Quitting,ACT,Directional Macro-F1,0.5460,0.0498,0.4410,0.6379,2000,149
GPT-4o-mini,Hybrid RF+PP,Quitting,ACT,Spearman_Rho,-1.0000,0.0000,-1.0000,-1.0000,2000,149
GPT-4o-mini,Hybrid RF+PP,Content,CBT,Accuracy,0.4195,0.0382,0.3448,0.4943,2000,174
GPT-4o-mini,Hybrid RF+PP,Content,CBT,F1,0.2377,0.0244,0.1878,0.2863,2000,174
GPT-4o-mini,Hybrid RF+PP,Content,CBT,Kappa,0.1490,0.0457,0.0619,0.2407,2000,174
GPT-4o-mini,Hybrid RF+PP,Content,CBT,QWK,0.2784,0.0680,0.1463,0.4105,2000,174
GPT-4o-mini,Hybrid RF+PP,Content,CBT,Directional Accuracy,0.6839,0.0359,0.6149,0.7529,2000,174
GPT-4o-mini,Hybrid RF+PP,Content,CBT,Directional Macro-F1,0.3892,0.0286,0.3307,0.4439,2000,174
GPT-4o-mini,Hybrid RF+PP,Content,CBT,Spearman_Rho,,,,,2000,174
GPT-4o-mini,Hybrid RF+PP,Coping,CBT,Accuracy,0.2989,0.0347,0.2299,0.3678,2000,174
GPT-4o-mini,Hybrid RF+PP,Coping,CBT,F1,0.2102,0.0282,0.1538,0.2645,2000,174
GPT-4o-mini,Hybrid RF+PP,Coping,CBT,Kappa,0.0673,0.0404,-0.0135,0.1439,2000,174
GPT-4o-mini,Hybrid RF+PP,Coping,CBT,QWK,0.3070,0.0606,0.1833,0.4186,2000,174
GPT-4o-mini,Hybrid RF+PP,Coping,CBT,Directional Accuracy,0.5345,0.0382,0.4598,0.6092,2000,174
GPT-4o-mini,Hybrid RF+PP,Coping,CBT,Directional Macro-F1,0.4374,0.0416,0.3531,0.5172,2000,174
GPT-4o-mini,Hybrid RF+PP,Coping,CBT,Spearman_Rho,,,,,2000,174
GPT-4o-mini,Hybrid RF+PP,Quitting,CBT,Accuracy,0.3851,0.0370,0.3161,0.4598,2000,174
GPT-4o-mini,Hybrid RF+PP,Quitting,CBT,F1,0.2743,0.0338,0.2071,0.3399,2000,174
GPT-4o-mini,Hybrid RF+PP,Quitting,CBT,Kappa,0.1483,0.0431,0.0664,0.2333,2000,174
GPT-4o-mini,Hybrid RF+PP,Quitting,CBT,QWK,0.3982,0.0605,0.2775,0.5119,2000,174
GPT-4o-mini,Hybrid RF+PP,Quitting,CBT,Directional Accuracy,0.6667,0.0365,0.5977,0.7414,2000,174
GPT-4o-mini,Hybrid RF+PP,Quitting,CBT,Directional Macro-F1,0.5258,0.0461,0.4388,0.6140,2000,174
GPT-4o-mini,Hybrid RF+PP,Quitting,CBT,Spearman_Rho,,,,,2000,174
GPT-5,Zero-shot (select),Content,ACT,Accuracy,0.3710,0.0432,0.2903,0.4597,2000,124
GPT-5,Zero-shot (select),Content,ACT,F1,0.1488,0.0200,0.1141,0.1927,2000,124
GPT-5,Zero-shot (select),Content,ACT,Kappa,0.0589,0.0318,0.0023,0.1251,2000,124
GPT-5,Zero-shot (select),Content,ACT,QWK,-0.0236,0.0604,-0.1455,0.0901,2000,124
GPT-5,Zero-shot (select),Content,ACT,Directional Accuracy,0.6774,0.0416,0.5968,0.7581,2000,124
GPT-5,Zero-shot (select),Content,ACT,Directional Macro-F1,0.2705,0.0098,0.2504,0.2888,2000,124
GPT-5,Zero-shot (select),Content,ACT,Spearman_Rho,-0.2857,0.4619,-1.0000,1.0000,2000,124
GPT-5,Zero-shot (select),Coping,ACT,Accuracy,0.2742,0.0399,0.2016,0.3548,2000,124
GPT-5,Zero-shot (select),Coping,ACT,F1,0.1373,0.0183,0.1008,0.1720,2000,124
GPT-5,Zero-shot (select),Coping,ACT,Kappa,0.0015,0.0430,-0.0799,0.0846,2000,124
GPT-5,Zero-shot (select),Coping,ACT,QWK,0.0053,0.0665,-0.1287,0.1413,2000,124
GPT-5,Zero-shot (select),Coping,ACT,Directional Accuracy,0.4435,0.0447,0.3629,0.5323,2000,124
