Model,Method,Domain,Category,Metric,Value,SE,CI_Lower,CI_Upper,Bootstrap_N,N
Gemini-2.5-Pro,Few-shot (select),Content,CBT,Kappa,0.1155,0.0526,0.0186,0.2210,2000,150
Gemini-2.5-Pro,Few-shot (select),Content,CBT,QWK,0.1330,0.0970,-0.0558,0.3226,2000,150
Gemini-2.5-Pro,Few-shot (select),Content,CBT,Directional Accuracy,0.6200,0.0396,0.5400,0.6933,2000,150
Gemini-2.5-Pro,Few-shot (select),Content,CBT,Directional Macro-F1,0.3707,0.0433,0.2894,0.4587,2000,150
Gemini-2.5-Pro,Few-shot (select),Content,CBT,Spearman_Rho,-0.0385,0.2632,-0.5285,0.5147,2000,150
Gemini-2.5-Pro,Few-shot (select),Coping,CBT,Accuracy,0.2667,0.0366,0.2000,0.3467,2000,150
Gemini-2.5-Pro,Few-shot (select),Coping,CBT,F1,0.2262,0.0364,0.1581,0.2985,2000,150
Gemini-2.5-Pro,Few-shot (select),Coping,CBT,Kappa,0.0274,0.0452,-0.0548,0.1199,2000,150
Gemini-2.5-Pro,Few-shot (select),Coping,CBT,QWK,-0.0031,0.0946,-0.1835,0.1794,2000,150
Gemini-2.5-Pro,Few-shot (select),Coping,CBT,Directional Accuracy,0.4133,0.0408,0.3333,0.4933,2000,150
Gemini-2.5-Pro,Few-shot (select),Coping,CBT,Directional Macro-F1,0.3488,0.0405,0.2708,0.4298,2000,150
Gemini-2.5-Pro,Few-shot (select),Coping,CBT,Spearman_Rho,-0.1872,0.2267,-0.6581,0.2561,2000,150
Gemini-2.5-Pro,Few-shot (select),Quitting,CBT,Accuracy,0.2667,0.0365,0.1933,0.3400,2000,150
Gemini-2.5-Pro,Few-shot (select),Quitting,CBT,F1,0.2341,0.0387,0.1581,0.3106,2000,150
Gemini-2.5-Pro,Few-shot (select),Quitting,CBT,Kappa,0.0174,0.0480,-0.0741,0.1127,2000,150
Gemini-2.5-Pro,Few-shot (select),Quitting,CBT,QWK,0.0794,0.0944,-0.1080,0.2661,2000,150
Gemini-2.5-Pro,Few-shot (select),Quitting,CBT,Directional Accuracy,0.4867,0.0412,0.4067,0.5667,2000,150
Gemini-2.5-Pro,Few-shot (select),Quitting,CBT,Directional Macro-F1,0.3781,0.0439,0.2955,0.4667,2000,150
Gemini-2.5-Pro,Few-shot (select),Quitting,CBT,Spearman_Rho,-0.0962,0.2356,-0.5834,0.3655,2000,150
Gemini-2.5-Pro,PP,Content,ACT,Accuracy,0.3716,0.0393,0.2971,0.4527,2000,148
Gemini-2.5-Pro,PP,Content,ACT,F1,0.2401,0.0333,0.1756,0.3065,2000,148
Gemini-2.5-Pro,PP,Content,ACT,Kappa,0.0864,0.0527,-0.0167,0.1910,2000,148
Gemini-2.5-Pro,PP,Content,ACT,QWK,0.2141,0.0995,0.0244,0.4020,2000,148
Gemini-2.5-Pro,PP,Content,ACT,Directional Accuracy,0.6689,0.0400,0.5944,0.7500,2000,148
Gemini-2.5-Pro,PP,Content,ACT,Directional Macro-F1,0.4351,0.0518,0.3314,0.5333,2000,148
Gemini-2.5-Pro,PP,Content,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,148
Gemini-2.5-Pro,PP,Coping,ACT,Accuracy,0.4430,0.0412,0.3624,0.5235,2000,149
Gemini-2.5-Pro,PP,Coping,ACT,F1,0.3879,0.0448,0.2942,0.4702,2000,149
Gemini-2.5-Pro,PP,Coping,ACT,Kappa,0.2392,0.0541,0.1317,0.3412,2000,149
Gemini-2.5-Pro,PP,Coping,ACT,QWK,0.4465,0.0848,0.2653,0.6048,2000,149
Gemini-2.5-Pro,PP,Coping,ACT,Directional Accuracy,0.6577,0.0397,0.5772,0.7383,2000,149
Gemini-2.5-Pro,PP,Coping,ACT,Directional Macro-F1,0.4946,0.0439,0.4082,0.5797,2000,149
Gemini-2.5-Pro,PP,Coping,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,149
Gemini-2.5-Pro,PP,Quitting,ACT,Accuracy,0.4698,0.0401,0.3893,0.5503,2000,149
Gemini-2.5-Pro,PP,Quitting,ACT,F1,0.3935,0.0411,0.3084,0.4692,2000,149
Gemini-2.5-Pro,PP,Quitting,ACT,Kappa,0.2862,0.0509,0.1853,0.3847,2000,149
Gemini-2.5-Pro,PP,Quitting,ACT,QWK,0.5345,0.0681,0.3952,0.6606,2000,149
Gemini-2.5-Pro,PP,Quitting,ACT,Directional Accuracy,0.6779,0.0381,0.6040,0.7517,2000,149
Gemini-2.5-Pro,PP,Quitting,ACT,Directional Macro-F1,0.5039,0.0412,0.4218,0.5853,2000,149
Gemini-2.5-Pro,PP,Quitting,ACT,Spearman_Rho,1.0000,0.0000,1.0000,1.0000,2000,149
Gemini-2.5-Pro,PP,Content,CBT,Accuracy,0.4655,0.0383,0.3908,0.5402,2000,174
Gemini-2.5-Pro,PP,Content,CBT,F1,0.3144,0.0318,0.2544,0.3765,2000,174
Gemini-2.5-Pro,PP,Content,CBT,Kappa,0.2304,0.0521,0.1295,0.3327,2000,174
Gemini-2.5-Pro,PP,Content,CBT,QWK,0.3335,0.0778,0.1806,0.4927,2000,174
Gemini-2.5-Pro,PP,Content,CBT,Directional Accuracy,0.6782,0.0359,0.6092,0.7471,2000,174
Gemini-2.5-Pro,PP,Content,CBT,Directional Macro-F1,0.4655,0.0468,0.3740,0.5565,2000,174
Gemini-2.5-Pro,PP,Content,CBT,Spearman_Rho,,,,,2000,174
Gemini-2.5-Pro,PP,Coping,CBT,Accuracy,0.4253,0.0380,0.3506,0.5000,2000,174
Gemini-2.5-Pro,PP,Coping,CBT,F1,0.3742,0.0425,0.2875,0.4578,2000,174
Gemini-2.5-Pro,PP,Coping,CBT,Kappa,0.2281,0.0494,0.1297,0.3253,2000,174
Gemini-2.5-Pro,PP,Coping,CBT,QWK,0.3654,0.0792,0.2099,0.5203,2000,174
Gemini-2.5-Pro,PP,Coping,CBT,Directional Accuracy,0.6149,0.0364,0.5460,0.6841,2000,174
Gemini-2.5-Pro,PP,Coping,CBT,Directional Macro-F1,0.4999,0.0423,0.4116,0.5819,2000,174
Gemini-2.5-Pro,PP,Coping,CBT,Spearman_Rho,,,,,2000,174
Gemini-2.5-Pro,PP,Quitting,CBT,Accuracy,0.4310,0.0387,0.3563,0.5115,2000,174
Gemini-2.5-Pro,PP,Quitting,CBT,F1,0.3940,0.0437,0.3087,0.4800,2000,174
Gemini-2.5-Pro,PP,Quitting,CBT,Kappa,0.2290,0.0519,0.1267,0.3311,2000,174
Gemini-2.5-Pro,PP,Quitting,CBT,QWK,0.4274,0.0762,0.2772,0.5714,2000,174
Gemini-2.5-Pro,PP,Quitting,CBT,Directional Accuracy,0.6437,0.0363,0.5747,0.7184,2000,174
Gemini-2.5-Pro,PP,Quitting,CBT,Directional Macro-F1,0.5314,0.0422,0.4451,0.6136,2000,174
Gemini-2.5-Pro,PP,Quitting,CBT,Spearman_Rho,,,,,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Content,ACT,Accuracy,0.3716,0.0396,0.2973,0.4527,2000,148
Gemini-2.5-Pro,Hybrid RF+PP,Content,ACT,F1,0.2500,0.0346,0.1859,0.3193,2000,148
Gemini-2.5-Pro,Hybrid RF+PP,Content,ACT,Kappa,0.0746,0.0557,-0.0348,0.1849,2000,148
Gemini-2.5-Pro,Hybrid RF+PP,Content,ACT,QWK,0.1581,0.0840,-0.0057,0.3276,2000,148
Gemini-2.5-Pro,Hybrid RF+PP,Content,ACT,Directional Accuracy,0.7162,0.0369,0.6419,0.7905,2000,148
Gemini-2.5-Pro,Hybrid RF+PP,Content,ACT,Directional Macro-F1,0.4510,0.0506,0.3547,0.5521,2000,148
Gemini-2.5-Pro,Hybrid RF+PP,Content,ACT,Spearman_Rho,-1.0000,0.0000,-1.0000,-1.0000,2000,148
Gemini-2.5-Pro,Hybrid RF+PP,Coping,ACT,Accuracy,0.3960,0.0401,0.3154,0.4765,2000,149
Gemini-2.5-Pro,Hybrid RF+PP,Coping,ACT,F1,0.3524,0.0463,0.2601,0.4392,2000,149
Gemini-2.5-Pro,Hybrid RF+PP,Coping,ACT,Kappa,0.1740,0.0536,0.0702,0.2786,2000,149
Gemini-2.5-Pro,Hybrid RF+PP,Coping,ACT,QWK,0.3844,0.0865,0.2021,0.5486,2000,149
Gemini-2.5-Pro,Hybrid RF+PP,Coping,ACT,Directional Accuracy,0.6711,0.0384,0.5906,0.7450,2000,149
Gemini-2.5-Pro,Hybrid RF+PP,Coping,ACT,Directional Macro-F1,0.5026,0.0475,0.4079,0.5915,2000,149
Gemini-2.5-Pro,Hybrid RF+PP,Coping,ACT,Spearman_Rho,-1.0000,0.0000,-1.0000,-1.0000,2000,149
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,ACT,Accuracy,0.4765,0.0407,0.3960,0.5570,2000,149
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,ACT,F1,0.3797,0.0432,0.2935,0.4611,2000,149
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,ACT,Kappa,0.2817,0.0520,0.1817,0.3841,2000,149
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,ACT,QWK,0.4999,0.0747,0.3375,0.6325,2000,149
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,ACT,Directional Accuracy,0.6779,0.0381,0.5973,0.7517,2000,149
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,ACT,Directional Macro-F1,0.4792,0.0439,0.3914,0.5595,2000,149
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,ACT,Spearman_Rho,-1.0000,0.0000,-1.0000,-1.0000,2000,149
Gemini-2.5-Pro,Hybrid RF+PP,Content,CBT,Accuracy,0.4483,0.0374,0.3736,0.5230,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Content,CBT,F1,0.3156,0.0336,0.2498,0.3808,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Content,CBT,Kappa,0.2013,0.0518,0.0977,0.3003,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Content,CBT,QWK,0.3686,0.0770,0.2137,0.5105,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Content,CBT,Directional Accuracy,0.7011,0.0348,0.6322,0.7644,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Content,CBT,Directional Macro-F1,0.5030,0.0494,0.4005,0.5962,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Content,CBT,Spearman_Rho,,,,,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Coping,CBT,Accuracy,0.4368,0.0379,0.3621,0.5115,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Coping,CBT,F1,0.3881,0.0424,0.2996,0.4672,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Coping,CBT,Kappa,0.2441,0.0497,0.1444,0.3406,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Coping,CBT,QWK,0.4326,0.0779,0.2702,0.5739,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Coping,CBT,Directional Accuracy,0.6379,0.0368,0.5632,0.7069,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Coping,CBT,Directional Macro-F1,0.5197,0.0430,0.4343,0.6008,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Coping,CBT,Spearman_Rho,,,,,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,CBT,Accuracy,0.4138,0.0364,0.3391,0.4885,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,CBT,F1,0.3735,0.0416,0.2901,0.4518,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,CBT,Kappa,0.1984,0.0493,0.0994,0.2938,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,CBT,QWK,0.4623,0.0727,0.3150,0.6009,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,CBT,Directional Accuracy,0.6667,0.0356,0.5977,0.7356,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,CBT,Directional Macro-F1,0.5079,0.0415,0.4270,0.5921,2000,174
Gemini-2.5-Pro,Hybrid RF+PP,Quitting,CBT,Spearman_Rho,,,,,2000,174
Embedding + RF,Best Text Baseline,Content,ACT,Accuracy,0.3710,0.0443,0.2823,0.4597,2000,124
Embedding + RF,Best Text Baseline,Content,ACT,F1,0.1817,0.0220,0.1427,0.2303,2000,124
Embedding + RF,Best Text Baseline,Content,ACT,Kappa,0.0511,0.0562,-0.0622,0.1603,2000,124
Embedding + RF,Best Text Baseline,Content,ACT,QWK,-0.0232,0.0636,-0.1481,0.1035,2000,124
Embedding + RF,Best Text Baseline,Content,ACT,Directional Accuracy,0.6371,0.0441,0.5484,0.7177,2000,124
Embedding + RF,Best Text Baseline,Content,ACT,Directional Macro-F1,0.2607,0.0110,0.2373,0.2799,2000,124
Embedding + RF,Best Text Baseline,Content,ACT,Spearman_Rho,-0.1562,0.2895,-0.6667,0.5000,2000,124
Embedding + RF,Best Text Baseline,Content,CBT,Accuracy,0.3600,0.0396,0.2867,0.4400,2000,150
Embedding + RF,Best Text Baseline,Content,CBT,F1,0.2015,0.0306,0.1546,0.2776,2000,150
Embedding + RF,Best Text Baseline,Content,CBT,Kappa,0.0555,0.0506,-0.0419,0.1570,2000,150
Embedding + RF,Best Text Baseline,Content,CBT,QWK,0.0685,0.0583,-0.0448,0.1852,2000,150
Embedding + RF,Best Text Baseline,Content,CBT,Directional Accuracy,0.6867,0.0380,0.6133,0.7600,2000,150
Embedding + RF,Best Text Baseline,Content,CBT,Directional Macro-F1,0.3483,0.0306,0.2907,0.4085,2000,150
Embedding + RF,Best Text Baseline,Content,CBT,Spearman_Rho,0.1071,0.3100,-0.4744,0.7085,2000,150
Embedding + RF,Best Text Baseline,Coping,ACT,Accuracy,0.3548,0.0421,0.2742,0.4355,2000,124
Embedding + RF,Best Text Baseline,Coping,ACT,F1,0.1719,0.0189,0.1345,0.2069,2000,124
Embedding + RF,Best Text Baseline,Coping,ACT,Kappa,0.0377,0.0521,-0.0623,0.1388,2000,124
Embedding + RF,Best Text Baseline,Coping,ACT,QWK,0.0673,0.0566,-0.0438,0.1783,2000,124
Embedding + RF,Best Text Baseline,Coping,ACT,Directional Accuracy,0.6452,0.0440,0.5565,0.7258,2000,124
Embedding + RF,Best Text Baseline,Coping,ACT,Directional Macro-F1,0.2627,0.0108,0.2408,0.2822,2000,124
Embedding + RF,Best Text Baseline,Coping,ACT,Spearman_Rho,-0.1875,0.4348,-1.0000,0.8062,2000,124
Embedding + RF,Best Text Baseline,Coping,CBT,Accuracy,0.2867,0.0365,0.2133,0.3600,2000,150
Embedding + RF,Best Text Baseline,Coping,CBT,F1,0.1694,0.0222,0.1253,0.2122,2000,150
Embedding + RF,Best Text Baseline,Coping,CBT,Kappa,0.0145,0.0447,-0.0748,0.1009,2000,150
Embedding + RF,Best Text Baseline,Coping,CBT,QWK,-0.0205,0.0524,-0.1223,0.0772,2000,150
Embedding + RF,Best Text Baseline,Coping,CBT,Directional Accuracy,0.5267,0.0404,0.4533,0.6067,2000,150
Embedding + RF,Best Text Baseline,Coping,CBT,Directional Macro-F1,0.2709,0.0258,0.2242,0.3234,2000,150
Embedding + RF,Best Text Baseline,Coping,CBT,Spearman_Rho,0.2507,0.2231,-0.2048,0.6667,2000,150
Embedding + RF,Best Text Baseline,Quitting,ACT,Accuracy,0.3710,0.0437,0.2823,0.4516,2000,124
Embedding + RF,Best Text Baseline,Quitting,ACT,F1,0.1961,0.0249,0.1484,0.2452,2000,124
Embedding + RF,Best Text Baseline,Quitting,ACT,Kappa,0.0737,0.0537,-0.0349,0.1793,2000,124
Embedding + RF,Best Text Baseline,Quitting,ACT,QWK,-0.0252,0.0470,-0.1164,0.0676,2000,124
Embedding + RF,Best Text Baseline,Quitting,ACT,Directional Accuracy,0.6290,0.0433,0.5403,0.7097,2000,124
Embedding + RF,Best Text Baseline,Quitting,ACT,Directional Macro-F1,0.2846,0.0283,0.2412,0.3480,2000,124
Embedding + RF,Best Text Baseline,Quitting,ACT,Spearman_Rho,-0.6000,0.3112,-1.0000,0.0661,2000,124
Embedding + RF,Best Text Baseline,Quitting,CBT,Accuracy,0.2600,0.0362,0.1933,0.3333,2000,150
Embedding + RF,Best Text Baseline,Quitting,CBT,F1,0.1344,0.0172,0.1014,0.1679,2000,150
Embedding + RF,Best Text Baseline,Quitting,CBT,Kappa,-0.0492,0.0428,-0.1318,0.0373,2000,150
Embedding + RF,Best Text Baseline,Quitting,CBT,QWK,-0.0151,0.0640,-0.1450,0.1015,2000,150
Embedding + RF,Best Text Baseline,Quitting,CBT,Directional Accuracy,0.5533,0.0395,0.4733,0.6333,2000,150
Embedding + RF,Best Text Baseline,Quitting,CBT,Directional Macro-F1,0.2617,0.0246,0.2212,0.3153,2000,150
Embedding + RF,Best Text Baseline,Quitting,CBT,Spearman_Rho,0.1316,0.2585,-0.3333,0.6667,2000,150
