k_train,method_group,feature_set,model,domain,covered_n,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
1,Generic LLM,Zero-shot,GPT-5,quitting,293,0.14334470989761092,0.10042418708269381,-0.0006394905845215071,0.04284935611018614,0.19795221843003413,0.20696250780704653,0.9999999999999999,293
1,Generic LLM,Few-shot,GPT-5,content,293,0.40955631399317405,0.24859056385280875,0.10945378520353477,0.13615437761223637,0.689419795221843,0.3870972055981652,0.9999999999999999,293
1,Generic LLM,Few-shot,GPT-5,coping,293,0.2354948805460751,0.19168603974390955,0.011179076144273381,0.06765941492583238,0.3822525597269625,0.3366448801742919,0.49999999999999994,293
1,Generic LLM,Few-shot,GPT-5,quitting,293,0.20477815699658702,0.17090916008124762,0.014279938779635515,0.09616608725456599,0.35494880546075086,0.3224757395218149,0.9999999999999999,293
1,Generic LLM,Zero-shot,Gemini-2.5-Pro,content,293,0.3890784982935154,0.2336456037393119,0.05047524214718935,0.12669142558406377,0.7303754266211604,0.37399968117328236,-0.3333333333333333,293
1,Generic LLM,Zero-shot,Gemini-2.5-Pro,coping,293,0.2901023890784983,0.20070297544067905,0.001376417382185191,0.11693791440626877,0.5836177474402731,0.3629487120053158,-0.49999999999999994,293
1,Generic LLM,Zero-shot,Gemini-2.5-Pro,quitting,293,0.2935153583617747,0.18466646158918618,0.012504273921750464,0.09308495561174168,0.590443686006826,0.3471867007672634,-0.9999999999999999,293
1,Generic LLM,Few-shot,Gemini-2.5-Pro,content,293,0.37542662116040953,0.284328061587746,0.09083355941399895,0.18402955385052577,0.6484641638225256,0.4027395854709624,-0.3333333333333333,293
1,Generic LLM,Few-shot,Gemini-2.5-Pro,coping,293,0.2525597269624573,0.2120459695343416,0.017019516529305445,0.1501838470827137,0.5051194539249146,0.39246042830540034,0.0,293
1,Generic LLM,Few-shot,Gemini-2.5-Pro,quitting,293,0.31399317406143346,0.24134928516844636,0.07936532749726433,0.19831956580085286,0.5836177474402731,0.4274089906076826,0.0,293
1,Generic LLM,Zero-shot,Grok-4-Fast,content,293,0.39590443686006827,0.18804848686122297,0.03806132101719428,0.09073783114071088,0.7406143344709898,0.2968441814595661,0.19999999999999998,293
1,Generic LLM,Zero-shot,Grok-4-Fast,coping,293,0.3242320819112628,0.18018412508544088,0.05369784360421492,0.10081882611986503,0.5802047781569966,0.3972226323810357,0.9999999999999999,293
1,Generic LLM,Zero-shot,Grok-4-Fast,quitting,293,0.2935153583617747,0.175799751776555,0.057248111418534475,0.10459054436109883,0.5187713310580204,0.3667577683935728,0.3333333333333333,293
1,Generic LLM,Few-shot,Grok-4-Fast,content,293,0.3993174061433447,0.23279840291303108,0.07622306217867181,0.18535359224106762,0.7201365187713311,0.3415973796926178,0.0,293
1,Generic LLM,Few-shot,Grok-4-Fast,coping,293,0.32764505119453924,0.2197159156270921,0.06037766563568292,0.1325816111082807,0.5972696245733788,0.4050306577480491,0.0,293
1,Generic LLM,Few-shot,Grok-4-Fast,quitting,293,0.3720136518771331,0.2934618629700597,0.11567482448658228,0.24612317748777268,0.6450511945392492,0.40482027595191566,0.0,293
1,Generic LLM,Zero-shot,DeepSeek-R1,content,293,0.3174061433447099,0.1700682544013936,0.009549564776472619,0.02502991700443924,0.5870307167235495,0.34297641769066356,0.0,293
1,Generic LLM,Zero-shot,DeepSeek-R1,coping,293,0.20136518771331058,0.15212325686009898,0.005540728707356668,0.031472847885757216,0.3003412969283277,0.28875926110318223,-0.3333333333333333,293
1,Generic LLM,Zero-shot,DeepSeek-R1,quitting,293,0.13651877133105803,0.10591676256233218,0.00031017369727037725,0.03482171623194308,0.22866894197952217,0.22881916995363402,-0.3333333333333333,293
1,Generic LLM,Few-shot,DeepSeek-R1,content,293,0.310580204778157,0.23126977916074046,0.03707801187667781,0.0798422762213089,0.5358361774744027,0.3451127016344408,0.49999999999999994,293
1,Generic LLM,Few-shot,DeepSeek-R1,coping,293,0.2150170648464164,0.200236686062302,0.007043083632934599,0.06376584898415016,0.3822525597269625,0.3185711434119078,0.7142857142857142,293
1,Generic LLM,Few-shot,DeepSeek-R1,quitting,293,0.2764505119453925,0.2496300417142156,0.06718726535515851,0.0952745112185267,0.46757679180887374,0.37182035548641723,0.3333333333333333,293
3,Generic LLM,Zero-shot,GPT-4o-mini,content,228,0.39035087719298245,0.1456659905341447,0.034634012610801346,0.03289118947481939,0.75,0.329431721798134,,228
3,Generic LLM,Zero-shot,GPT-4o-mini,coping,228,0.2850877192982456,0.1570205643232903,0.02895066889632103,0.06497601096641525,0.4780701754385965,0.3224395273697009,0.0,228
3,Generic LLM,Zero-shot,GPT-4o-mini,quitting,228,0.32456140350877194,0.1736644656658782,0.05002570276778229,0.09174434087882832,0.5745614035087719,0.3606924321496782,,228
