k_train,feature_set,ensemble,domain,N,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho
1,Embedding+Demo,LLM-anchor 30/70,quitting,2670,0.37940074906367044,0.29367223309777574,0.15710223278297109,0.38435501980521514,0.6127340823970038,0.4596599066801132,0.0074763781860965805
1,Demographics + History + Message Embedding,RF only,content,2670,0.3262172284644195,0.20024915219028547,0.014200044330244022,0.021751516557919848,0.598501872659176,0.33206112244029473,-0.03150504823945475
1,Demographics + History + Message Embedding,RF only,coping,2670,0.28239700374531834,0.19591309008818136,0.012426043727442493,0.03499392033801818,0.5250936329588015,0.33340791188234475,0.00618560812209742
1,Demographics + History + Message Embedding,RF only,quitting,2670,0.2947565543071161,0.1986227111835141,0.019479507618833436,0.05037597999418375,0.5576779026217229,0.3353589498363725,-0.035106577319119016
1,Demographics + History + Message Embedding,LLM only,content,2670,0.46179775280898877,0.32654177386144023,0.22598688039501247,0.34927674531961195,0.6805243445692883,0.47533088285022523,0.055927360335984756
1,Demographics + History + Message Embedding,LLM only,coping,2670,0.3921348314606742,0.3494484862437645,0.18780187464506015,0.4283337014081132,0.6093632958801498,0.5097306046018555,0.05438840436496224
1,Demographics + History + Message Embedding,LLM only,quitting,2670,0.40149812734082396,0.35725837370640934,0.20592593585186714,0.4756257128685666,0.6273408239700374,0.5236405591173452,0.0759084827993412
1,Demographics + History + Message Embedding,Mean (50/50),content,2670,0.3943820224719101,0.23054020305188194,0.10440971473140936,0.18147267824252733,0.6790262172284645,0.3673258040500272,-0.02199937098890257
1,Demographics + History + Message Embedding,Mean (50/50),coping,2670,0.3397003745318352,0.215740063179484,0.07870794700781347,0.23537337597411523,0.601123595505618,0.39906912441589587,0.011729956042776655
1,Demographics + History + Message Embedding,Mean (50/50),quitting,2670,0.35842696629213483,0.24556232627520966,0.10799328865735902,0.2850618437691713,0.6247191011235955,0.4028054387192334,-0.00021951263629523094
1,Demographics + History + Message Embedding,RF-anchor 70/30,content,2670,0.34831460674157305,0.2138755316373429,0.041531964407657385,0.13520513378847465,0.6307116104868914,0.3438656399616014,-0.014467033995438864
1,Demographics + History + Message Embedding,RF-anchor 70/30,coping,2670,0.3052434456928839,0.21568089036618926,0.04346910831162254,0.186202334427358,0.5449438202247191,0.3596750721605743,0.005176647354780036
1,Demographics + History + Message Embedding,RF-anchor 70/30,quitting,2670,0.3250936329588015,0.23441973418128398,0.06482023017674632,0.22998405058084181,0.5865168539325842,0.37473254845600873,-0.014689116641778936
1,Demographics + History + Message Embedding,LLM-anchor 30/70,content,2670,0.44157303370786516,0.2878511094833044,0.18321836547652826,0.292845570024595,0.6771535580524345,0.41915576429746465,0.011376484369229866
1,Demographics + History + Message Embedding,LLM-anchor 30/70,coping,2670,0.3741573033707865,0.2845908601612611,0.14814534781816735,0.3538016756169361,0.5917602996254682,0.45214088517030676,0.04340242122020058
1,Demographics + History + Message Embedding,LLM-anchor 30/70,quitting,2670,0.3790262172284644,0.2940241141526748,0.15678086199645258,0.38698820238261655,0.6134831460674157,0.46150120187154936,0.0007719413976809734
