k_train,method_group,model,domain,covered_n,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
0,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,coping,318,0.3867924528301887,0.34965512013946787,0.1806506170555746,0.3839114338089932,0.5974842767295597,0.4639830960047368,0.7142857142857142,318
0,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,quitting,318,0.4056603773584906,0.37453971120015395,0.20878860482873018,0.442645936862074,0.6446540880503144,0.5204012978206527,0.5999999999999999,318
1,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,content,289,0.4429065743944637,0.3041399460274962,0.20463247863247858,0.2716772110361484,0.6678200692041523,0.4914643405635795,0.49999999999999994,289
1,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,coping,289,0.3944636678200692,0.35858495300374477,0.18706701171780815,0.39206469524967136,0.6055363321799307,0.46444319228670833,0.6666666666666666,289
1,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,quitting,289,0.4013840830449827,0.368743269975058,0.19893291461714713,0.4313125671321161,0.6470588235294118,0.518238224703831,0.3333333333333333,289
3,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,content,225,0.4533333333333333,0.31412488255880755,0.21872794512040195,0.27,0.68,0.5116071428571428,0.0,225
3,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,coping,225,0.37777777777777777,0.3564816107826861,0.17144510495028675,0.32985107801733715,0.5733333333333334,0.43870314083080036,0.9999999999999999,225
3,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,quitting,225,0.40444444444444444,0.3880996874728829,0.19839412953312763,0.3929456667178485,0.6222222222222222,0.49582766306706744,0.9999999999999999,225
5,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,content,151,0.4370860927152318,0.29344170084301663,0.19906396255850234,0.3309916040437667,0.6622516556291391,0.47879740804269105,0.9999999999999999,151
5,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,coping,151,0.3576158940397351,0.30955167352061225,0.1375493140199021,0.41825751947894885,0.5894039735099338,0.4414591022229852,0.9999999999999999,151
5,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,quitting,151,0.4105960264900662,0.3799020544672718,0.21482823089506886,0.5011170196029073,0.6490066225165563,0.5226884226884226,0.9999999999999999,151
7,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,content,87,0.41379310344827586,0.2877777777777778,0.1599772813328284,0.18271488961953963,0.6551724137931034,0.5184006287454563,0.9999999999999999,87
7,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,coping,87,0.39080459770114945,0.38365822155986085,0.19034240561896398,0.47684186366766124,0.6551724137931034,0.5491673491673491,0.9999999999999999,87
7,"LLM-PP (cbtact, Excel-7)",DeepSeek-R1,quitting,87,0.41379310344827586,0.39510051852908995,0.2177362482369536,0.4907354429822631,0.6781609195402298,0.5289343563512362,,87
