Model,Method,Combination,Domain,accuracy,directional_accuracy,kappa,spearman_rho,macro_f1
Grok-4-Fast,Few-shot (select),"Grok-4-Fast
Few-shot (select)",Quitting,0.31386861313868614,0.7226277372262774,0.08127485776454013,-0.016565877963619902,0.39570783590717146
Grok-4-Fast,Zero-shot (w/ prob),"Grok-4-Fast
Zero-shot (w/ prob)",Content,0.34306569343065696,0.8941605839416058,-0.016739506885462108,0.0662164026963223,0.2767778477029578
Grok-4-Fast,Zero-shot (w/ prob),"Grok-4-Fast
Zero-shot (w/ prob)",Coping,0.31386861313868614,0.8248175182481752,0.013614690845029864,0.06074659237947677,0.3489881869542886
Grok-4-Fast,Zero-shot (w/ prob),"Grok-4-Fast
Zero-shot (w/ prob)",Quitting,0.2591240875912409,0.7846715328467153,0.010425562197552085,0.06583801797848225,0.4070542635658915
Grok-4-Fast,Digital Twin (70/30),"Grok-4-Fast
Digital Twin (70/30)",Content,0.4813664596273292,0.8757763975155279,0.22995188452285487,0.19999999999999998,0.4411569103092073
Grok-4-Fast,Digital Twin (70/30),"Grok-4-Fast
Digital Twin (70/30)",Coping,0.43653250773993807,0.8390092879256966,0.22645928733091214,0.3333333333333333,0.5226503385105535
Grok-4-Fast,Digital Twin (70/30),"Grok-4-Fast
Digital Twin (70/30)",Quitting,0.43653250773993807,0.8513931888544891,0.23153546497947664,0.3333333333333333,0.520271482406207
Grok-4-Fast,Hybrid RF+DT (70/30),"Grok-4-Fast
Hybrid RF+DT",Content,0.468944099378882,0.8757763975155279,0.1983169052021606,-0.19999999999999998,0.4546373401764306
Grok-4-Fast,Hybrid RF+DT (70/30),"Grok-4-Fast
Hybrid RF+DT",Coping,0.42724458204334365,0.8699690402476781,0.20325604341391212,0.49999999999999994,0.4804343231289283
Grok-4-Fast,Hybrid RF+DT (70/30),"Grok-4-Fast
Hybrid RF+DT",Quitting,0.4891640866873065,0.8730650154798761,0.29763175582176893,0.0,0.5491893832252338
Gemini-2.5-Pro,Zero-shot (all),"Gemini-2.5-Pro
Zero-shot (all)",Content,0.30656934306569344,0.791970802919708,-0.03729975292898713,0.025566315640765908,0.3306277056277056
Gemini-2.5-Pro,Zero-shot (all),"Gemini-2.5-Pro
Zero-shot (all)",Coping,0.34306569343065696,0.7664233576642335,0.06617438227776185,-0.07558144408160695,0.3525160187857946
Gemini-2.5-Pro,Zero-shot (all),"Gemini-2.5-Pro
Zero-shot (all)",Quitting,0.31386861313868614,0.7700729927007299,0.05085495283018859,0.055672055025593754,0.3970404287461992
Gemini-2.5-Pro,Zero-shot (select),"Gemini-2.5-Pro
Zero-shot (select)",Content,0.3795620437956204,0.8029197080291971,0.06986960602248438,0.16333205031391723,0.3020586135710289
Gemini-2.5-Pro,Zero-shot (select),"Gemini-2.5-Pro
Zero-shot (select)",Coping,0.33211678832116787,0.781021897810219,0.050340909090908936,0.05128205128205131,0.3517543610566866
Gemini-2.5-Pro,Zero-shot (select),"Gemini-2.5-Pro
Zero-shot (select)",Quitting,0.2846715328467153,0.7773722627737226,0.022105684839214934,0.0924839684279443,0.36997939078037784
Gemini-2.5-Pro,Few-shot (all),"Gemini-2.5-Pro
Few-shot (all)",Content,0.3248175182481752,0.7627737226277372,0.01754045934683579,0.03230380011467996,0.3536389971031865
Gemini-2.5-Pro,Few-shot (all),"Gemini-2.5-Pro
Few-shot (all)",Coping,0.28832116788321166,0.6970802919708029,0.03322114862664216,-0.0037215165615433607,0.34558406520122414
Gemini-2.5-Pro,Few-shot (all),"Gemini-2.5-Pro
Few-shot (all)",Quitting,0.28832116788321166,0.7043795620437956,0.029445423334725995,0.08091839876593987,0.3501605790296452
Gemini-2.5-Pro,Few-shot (select),"Gemini-2.5-Pro
Few-shot (select)",Content,0.3759124087591241,0.7773722627737226,0.10710065937416613,0.006283135632955283,0.37773429995652213
Gemini-2.5-Pro,Few-shot (select),"Gemini-2.5-Pro
Few-shot (select)",Coping,0.2664233576642336,0.6605839416058394,0.026479530509792792,-0.030494168081759802,0.3359738098505079
Gemini-2.5-Pro,Few-shot (select),"Gemini-2.5-Pro
Few-shot (select)",Quitting,0.291970802919708,0.7043795620437956,0.05463470157217043,-0.014540566087083848,0.40312723556463975
Gemini-2.5-Pro,Zero-shot (w/ prob),"Gemini-2.5-Pro
Zero-shot (w/ prob)",Content,0.3102189781021898,0.7518248175182481,-0.018246883479491993,0.028947620331950787,0.32470253058488346
Gemini-2.5-Pro,Zero-shot (w/ prob),"Gemini-2.5-Pro
Zero-shot (w/ prob)",Coping,0.3102189781021898,0.7481751824817519,0.0200768255530116,-0.011627906976744201,0.3689460903351141
Gemini-2.5-Pro,Zero-shot (w/ prob),"Gemini-2.5-Pro
Zero-shot (w/ prob)",Quitting,0.25547445255474455,0.781021897810219,-0.01010174024612831,0.04553885362310087,0.3679963968755353
Gemini-2.5-Pro,Digital Twin (70/30),"Gemini-2.5-Pro
Digital Twin (70/30)",Content,0.422360248447205,0.8291925465838509,0.16261901765865527,0.3333333333333333,0.4544977846021065
Gemini-2.5-Pro,Digital Twin (70/30),"Gemini-2.5-Pro
Digital Twin (70/30)",Coping,0.43343653250773995,0.8204334365325078,0.23345566780355587,0.7142857142857142,0.501474248164086
Gemini-2.5-Pro,Digital Twin (70/30),"Gemini-2.5-Pro
Digital Twin (70/30)",Quitting,0.44891640866873067,0.8080495356037152,0.2561743967915131,0.9999999999999998,0.5219413096939123
Gemini-2.5-Pro,Hybrid RF+DT (70/30),"Gemini-2.5-Pro
Hybrid RF+DT",Content,0.41304347826086957,0.8478260869565217,0.14185397219323725,-0.4999999999999999,0.4821995781770132
Gemini-2.5-Pro,Hybrid RF+DT (70/30),"Gemini-2.5-Pro
Hybrid RF+DT",Coping,0.4179566563467492,0.8297213622291022,0.2105051030358187,0.19999999999999998,0.5130293722658795
Gemini-2.5-Pro,Hybrid RF+DT (70/30),"Gemini-2.5-Pro
Hybrid RF+DT",Quitting,0.44272445820433437,0.826625386996904,0.23685764914353225,0.3333333333333333,0.49536349536349533
