Model,Model_ID,Method,Category,Domain,Accuracy,Directional Accuracy,Directional Macro-F1,Kappa,QWK,F1,Kendall_Tau,Spearman_Rho,N,Split,Source_File,Feature_Set,Classifier
Grok-4-Fast,x-ai_grok-4-fast,Hybrid RF+PP,Hybrid,Quitting,0.49185667752442996,0.7003257328990228,0.5435402863260799,0.3002746771082929,0.5407458221068814,0.43333600459456934,0.48717982924211245,,307,digital_twin_7030,results_manuscript_hybrid_x-ai_grok-4-fast/evaluation_results_x-ai_grok-4-fast_text-only_hybrid-rf-digital-twin.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (all),Generic LLM,Content,0.39215686274509803,0.7189542483660131,0.3666370159520844,0.060699079116744104,0.12414285538416081,0.23461837344615616,0.1104241918131664,,306,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_1_zero_shot_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (all),Generic LLM,Coping,0.2899022801302932,0.5667752442996743,0.3504029658284977,0.009237601776461823,0.11415233364592892,0.1998750372513755,0.09215473462112764,0.9999999999999999,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_1_zero_shot_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (all),Generic LLM,Quitting,0.2996742671009772,0.5863192182410424,0.3474776386404293,0.02072638794101056,0.0939268545000913,0.19061347440897491,0.09226695266728233,,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_1_zero_shot_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (select),Generic LLM,Content,0.3954248366013072,0.7287581699346405,0.39547297348663796,0.06870002961208166,0.1603150947413241,0.2541670158696542,0.14886244127293233,,306,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_2_zero_shot_select_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (select),Generic LLM,Coping,0.28664495114006516,0.5830618892508144,0.37443693693693697,0.0003419769239918491,0.12565860406452778,0.19483910164856458,0.08372692030289007,0.9999999999999999,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_2_zero_shot_select_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Zero-shot (select),Generic LLM,Quitting,0.3322475570032573,0.6058631921824105,0.40825274016763374,0.07239819004524883,0.1591685283008083,0.23969531178041814,0.11866585883448015,0.9999999999999999,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_2_zero_shot_select_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (all),Generic LLM,Content,0.3660130718954248,0.6372549019607843,0.3915940972469843,0.08096727250209002,0.18223466530923893,0.27408546829849934,0.1369702615371904,,306,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_3_few_shot_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (all),Generic LLM,Coping,0.24104234527687296,0.49185667752442996,0.38261052036964105,0.004772240309430353,0.14491295938104443,0.20297218850146953,0.09503351515396337,0.0,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_3_few_shot_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (all),Generic LLM,Quitting,0.30944625407166126,0.5830618892508144,0.4242790462302657,0.0718065003779289,0.2013266501402926,0.23620208443737853,0.1334627007905531,0.9999999999999999,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_3_few_shot_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (select),Generic LLM,Content,0.38235294117647056,0.673202614379085,0.4158803576934937,0.09137470542026715,0.20130290349022828,0.2725803341761354,0.16169187966372447,,306,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_4_few_shot_select_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (select),Generic LLM,Coping,0.2996742671009772,0.498371335504886,0.37259677267346003,0.07334091451515523,0.1460947715959744,0.25440084982032385,0.11979393191958124,0.9999999999999999,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_4_few_shot_select_dt7030.json,,
Gemini-2.5-Pro,gemini-2.5-pro,Few-shot (select),Generic LLM,Quitting,0.31596091205211724,0.5570032573289903,0.39479596796669963,0.07867095391211154,0.18288973384030416,0.2641227294976127,0.12674317495923473,0.9999999999999999,307,digital_twin_7030,results_manuscript_gemini-2.5-pro/generic_llm_4_few_shot_select_dt7030.json,,
