model,model_color,reference_key,reference,comparison_key,comparison,domain,metric,difference,ci_low,ci_high,verdict,bootstrap_replicates,resampling_unit,n_participants,n_test_messages,seed,baseline_key,baseline
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,accuracy,-0.01670378619153673,-0.045558092056421695,0.010011123470522798,comparable,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,macro_f1,-0.016813108570094548,-0.04464840628712392,0.011365671811497273,comparable,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,qwk,-0.043521872838222175,-0.07674297692966157,-0.008795830581131345,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,directional_accuracy,-0.03340757238307346,-0.05895439377085643,-0.010011123470522798,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,directional_macro_f1,-0.03016165143780636,-0.05928017816709961,-0.0020607180672015256,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Content,accuracy,-0.010022271714922037,-0.03683345039793634,0.016666666666666663,comparable,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Content,macro_f1,0.012232733877189705,-0.021558903450250792,0.053275074752095974,comparable,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Content,qwk,-0.0159540056597538,-0.05616256845199682,0.02360425767813526,comparable,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Content,directional_accuracy,-0.015590200445434244,-0.03798882681564242,0.005607514880952187,comparable,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Content,directional_macro_f1,0.014494855936721562,-0.019198084152027218,0.05265514590409904,comparable,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Coping,accuracy,-0.024498886414253906,-0.052280311457174655,0.0011173496806768878,comparable,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
